Date,Open,High,Low,Close,Volumne
7/16/2010 12:08:00 PM,538.49,540.99,525.61,529.94,4140500
7/16/2010 12:06:00 PM,544.49,547,530.6,534.29,3229100
7/16/2010 12:04:00 PM,541.27,547.65,535.31,542.1,3964400
7/16/2010 12:02:00 PM,537.97,549.6,536.29,542.42,4355500
7/16/2010 12:00:00 PM,546.59,549.88,535.51,540,4419900
7/16/2010 11:58:00 AM,564.5,570.6,534.86,550.01,6800400
7/16/2010 11:56:00 AM,583.44,586.82,572.25,582.98,6307700
7/16/2010 11:54:00 AM,585.98,585.98,575.29,580.41,3250700
7/16/2010 11:52:00 AM,581.2,590.42,576.29,587.62,4316700
7/16/2010 11:50:00 AM,593.34,593.56,578.04,580,5434500
7/16/2010 11:48:00 AM,583.9,594.2,582.81,589.85,4240100
7/16/2010 11:46:00 AM,576.49,588.38,573.9,587.09,6496600
7/16/2010 11:44:00 AM,597.65,598.16,588,590.48,4853300
7/16/2010 11:42:00 AM,604.46,604.46,594.04,601.11,7212900
7/16/2010 11:40:00 AM,592,603.25,589.11,602.02,4724300
7/16/2010 11:38:00 AM,609.4,610,592.65,594.1,6414300
7/16/2010 11:36:00 AM,625.86,625.86,606.36,608.26,3978700
7/16/2010 11:34:00 AM,627.18,627.84,621.54,623.99,3004700
7/16/2010 11:32:00 AM,626.95,629.51,624.24,626.75,1956200
7/16/2010 11:30:00 AM,624.75,625.4,619.98,619.98,1219800
7/16/2010 11:28:00 AM,618.5,622.73,618.01,622.73,1465600
7/16/2010 11:26:00 AM,624.74,624.84,618.29,619.4,1424800
7/16/2010 11:24:00 AM,621.66,625.99,618.48,622.87,1697900
7/16/2010 11:22:00 AM,612.93,619.52,612.27,618.48,858700
7/16/2010 11:20:00 AM,603.5,612.87,602.85,611.68,2072700
7/16/2010 11:18:00 AM,601.34,601.5,598.85,601.12,1880800
7/16/2010 11:16:00 AM,597.61,599.84,595.67,598.68,2571200
7/16/2010 11:14:00 AM,596.03,598.93,595,596.42,3531500
7/16/2010 11:12:00 AM,596.44,597.64,593.76,593.94,2638800
7/16/2010 11:10:00 AM,598.6,600.37,596.64,597.76,2809400
7/16/2010 11:08:00 AM,593.3,596.38,590.99,593.14,2280400
7/16/2010 11:06:00 AM,595.35,597.31,592.61,595.73,1913400
7/16/2010 11:04:00 AM,594.68,594.75,587.73,590.51,1720000
7/16/2010 11:02:00 AM,590.44,594.71,590.41,591.5,1668300
7/16/2010 11:00:00 AM,587.5,589.33,583.58,589.02,1781000
7/16/2010 10:58:00 AM,583.5,590.66,582,587.05,1524000
7/16/2010 10:56:00 AM,584.21,588.69,581,586.25,1636200
7/16/2010 10:54:00 AM,593.02,594.83,579.18,585.01,2513600
7/16/2010 10:52:00 AM,589.04,591.45,585,585.74,1428700
7/16/2010 10:50:00 AM,591,593.01,586.22,587.51,1663200
7/16/2010 10:48:00 AM,588.13,591.22,583,589.87,2320300
