Date,Open,High,Low,Close,Volume,Adj Close
7/16/2010,469.12,470.56,459.52,459.61,7824800,459.61
7/15/2010,491.73,494.7,482.68,494.02,4858200,494.02
7/14/2010,489.88,493.83,486.46,491.34,3118000,491.34
7/13/2010,482.25,492.99,480.28,489.2,3976300,489.2
7/12/2010,472.37,479.44,471.08,475.83,3334400,475.83
7/9/2010,471.96,473.26,462.78,467.49,4331500,467.49
7/8/2010,453.55,457.33,449.66,456.56,2668900,456.56
7/7/2010,438.31,451.29,435.38,450.2,3129700,450.2
7/6/2010,444,447.67,433.63,436.07,2560100,436.07
7/2/2010,441.62,442.28,436,436.55,1936000,436.55
7/1/2010,445.29,448.4,433.63,439.49,3513600,439.49
6/30/2010,454.96,457.83,444.72,444.95,3603200,444.95
6/29/2010,463.44,464.55,451.12,454.26,3502100,454.26
6/28/2010,472.59,477.55,469.01,472.08,1762300,472.08
6/25/2010,477.06,477.65,470.56,472.68,2245200,472.68
6/24/2010,479.66,482.75,473.26,475.1,1893600,475.1
6/23/2010,486.89,486.89,478.16,482.05,2029100,482.05
6/22/2010,489.9,496.6,485.73,486.25,2219700,486.25
6/21/2010,499.9,500.97,484.89,488.56,2983500,488.56
6/18/2010,502.51,503.47,498.13,500.03,2872900,500.03
6/17/2010,503.45,505.87,496.69,500.08,1977300,500.08
6/16/2010,496.17,504,496.11,501.27,2289300,501.27
6/15/2010,483.08,500.4,482.18,497.99,4259600,497.99
6/14/2010,494.48,494.5,483.19,483.19,2040400,483.19
6/11/2010,482.5,488.71,481.62,488.5,1781700,488.5
6/10/2010,480.37,488.5,475.84,487.01,2577900,487.01
6/9/2010,487.22,488.88,472,474.02,2729000,474.02
6/8/2010,487.85,488.84,477.54,484.78,2685100,484.78
6/7/2010,499.06,500.91,483.15,485.52,3632700,485.52
6/4/2010,499.72,509.25,496.7,498.72,3920300,498.72
6/3/2010,495.11,508,494.7,505.6,3650700,505.6
6/2/2010,486.68,493.87,481.46,493.37,2540800,493.37
6/1/2010,480.43,491.06,480.12,482.37,2666800,482.37
5/28/2010,492.74,493.45,483,485.63,2894800,485.63
5/27/2010,484.95,492.31,481.05,490.46,2809100,490.46
5/26/2010,482.07,489.76,475,475.47,3475600,475.47
5/25/2010,468.15,477.45,464.01,477.07,3017400,477.07
5/24/2010,480.73,489.79,476.8,477.16,4345600,477.16
5/21/2010,469.06,485,464.4,472.05,9690800,472.05
5/20/2010,485.07,485.58,473.8,475.01,4913300,475.01
5/19/2010,496.26,499.44,487.74,494.43,3445700,494.43
5/18/2010,510,510.97,497.07,498.37,2825500,498.37
5/17/2010,506.78,508.36,498.35,507.97,2793800,507.97
5/14/2010,509.77,510.99,496.25,507.53,4116000,507.53
5/13/2010,516.5,522,510.37,510.88,3325800,510.88
5/12/2010,512.04,512.04,502,505.39,3851800,505.39
5/11/2010,515.67,519.88,508.22,509.05,3322600,509.05
5/10/2010,513.97,522.82,512.6,521.65,4128000,521.65
5/7/2010,499.97,505.32,481.33,493.14,5089000,493.14
5/6/2010,508.75,517.52,460,498.67,5000100,498.67
5/5/2010,500.98,515.72,500.47,509.76,4582200,509.76
5/4/2010,526.52,526.74,504.21,506.37,6076300,506.37
5/3/2010,526.5,532.92,525.08,530.6,1857800,530.6
4/30/2010,531.13,537.68,525.44,525.7,2435400,525.7
4/29/2010,533.37,536.5,526.67,532,3058900,532
4/28/2010,532.1,534.83,521.03,529.19,3406100,529.19
4/27/2010,528.95,538.33,527.23,529.06,3844700,529.06
4/26/2010,544.97,544.99,529.21,531.64,4368800,531.64
4/23/2010,547.25,549.32,542.27,544.99,2089400,544.99
4/22/2010,552,552.5,543.35,547.06,3280700,547.06
4/21/2010,556.46,560.25,552.16,554.3,2391500,554.3
4/20/2010,554.17,559.66,551.06,555.04,2977400,555.04
4/19/2010,548.75,553.99,545,550.1,3894000,550.1
4/16/2010,563,568.81,549.63,550.15,12235500,550.15
4/15/2010,592.17,597.84,588.29,595.3,6761800,595.3
4/14/2010,590.06,592.34,584.01,589,3402700,589
4/13/2010,572.53,588.88,571.13,586.77,3912300,586.77
